旅館名稱,最低房價,最高房價,地址,圖片連結,城市,網站,電話
思源居民宿,2200,3600,"No.1, Shuitou Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/15545.jpg?v=20250516,埔里鎮,,886-49-2927101
凱旋新宿商旅,4500,8000,"No.243, Fujian Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/9215.jpg?v=20250516,台東市,,886-89-311777
觀關嚮戶民宿,4000,6000,"No.28, Bade Rd., Guanshan Township, Taitung County 956, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/286380.jpeg?v=20250516,關山鎮,,886-988-627798
克卜勒民宿,4500,5200,"No.20, Ln. 112, Long 3rd Rd., Luye Township, Taitung County 955, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/78797.jpg?v=20250516,鹿野鄉,https://www.facebook.com/Kepler2016/?ref=aymt_homepage_panel&amp;eid=ARDh6FM8mESba_ulOBGJxMwpHyQl3LWJAD8ca6cTVYDrYD017IVsuyEwtO65TobGzOyc_NqhKSqNf8mS,886-89-551891
柴柴屋,3000,3600,"Aly. 5, Ln. 559, Sec. 2, Wujie Central Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/32539.jpg?v=20250516,五結鄉,http://www.shibabnb.tw,886-3-9507195
蒂爾堡會館,4800,6800,"No.55, Qingtian 1st St., Puli Township, Nantou County 545, Taiwan (R.O.C.)",,埔里鎮,,886-939-136008
你來花蓮民宿,4800,4800,"No.14, Minle 3rd St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/281984.jpeg?v=20250516,花蓮市,,886-933-799499
河岸咖啡民宿,2200,2400,"No.86-12, Huashan, Gukeng Township, Yunlin County 646, Taiwan (R.O.C.)",,古坑鄉,,886-5-5900212
初鹿生態農莊民宿,6000,6000,"No.6, Aly. 12, Ln. 103, Chulu 2nd St., Beinan Township, Taitung County 954, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/288865.jpg?v=20250516,卑南鄉,,886-89-571547
凱莎琳庭園大飯店,2700,4100,"No.145, Wenwu 3rd St., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",https://taiwan.taiwanstay.net.tw/twpic/12603.jpg?v=20250516,前金區,,886-7-2152158
